roll,pitch,yaw,xaccel,yaccel,zaccel
1.207,-0.123,0.262,-0.089,0.001,0.991
1.173,-0.175,0.28,-0.084,0.003,0.992
1.26,-0.28,0.245,-0.086,-0.003,0.991
1.225,-0.105,0.192,-0.088,0.001,0.99
1.242,-0.192,0.157,-0.085,-0.002,0.994
1.242,-0.105,0.21,-0.088,0.001,0.992
1.225,-0.14,0.228,-0.087,-0.0,0.995
1.207,-0.192,0.245,-0.089,0.001,0.993
1.207,-0.157,0.157,-0.085,-0.002,0.994
1.347,-0.192,0.262,-0.087,0.001,0.994
1.347,-0.175,0.245,-0.088,-0.0,0.992
1.155,-0.123,0.262,-0.089,-0.002,0.992
1.26,-0.21,0.21,-0.087,-0.001,0.987
1.242,-0.21,0.28,-0.089,0.001,0.993
1.242,-0.21,0.21,-0.088,-0.001,0.99
1.242,-0.157,0.298,-0.086,0.004,0.992
1.278,-0.175,0.175,-0.089,-0.0,0.991
1.295,-0.192,0.298,-0.084,-0.0,0.991
1.207,-0.192,0.228,-0.09,0.002,0.993
1.26,-0.123,0.157,-0.086,-0.0,0.991
1.155,-0.157,0.262,-0.088,0.0,0.989
1.242,-0.14,0.157,-0.087,0.0,0.99
1.312,-0.14,0.245,-0.086,-0.001,0.991
1.19,-0.175,0.228,-0.088,-0.001,0.993
1.242,-0.157,0.28,-0.087,-0.0,0.993
1.312,-0.175,0.192,-0.085,-0.0,0.993
1.207,-0.228,0.192,-0.084,-0.001,0.991
1.207,-0.157,0.28,-0.086,0.001,0.99
1.383,-0.087,0.298,-0.087,-0.001,0.991
1.19,-0.192,0.21,-0.089,-0.0,0.991
1.173,-0.175,0.262,-0.087,0.002,0.991
1.19,-0.052,0.21,-0.087,0.0,0.99
1.207,-0.175,0.245,-0.085,0.0,0.993
1.138,-0.052,0.228,-0.085,0.0,0.992
1.225,-0.192,0.192,-0.088,-0.0,0.991
1.278,-0.175,0.245,-0.086,-0.003,0.992
1.19,-0.157,0.245,-0.087,0.002,0.99
1.19,-0.228,0.21,-0.088,0.001,0.993
1.242,-0.28,0.192,-0.088,0.0,0.993
1.295,-0.157,0.228,-0.087,-0.002,0.99
1.347,-0.228,0.228,-0.089,-0.0,0.991
1.26,-0.123,0.262,-0.086,0.0,0.991
1.312,-0.298,0.245,-0.088,-0.001,0.992
1.278,-0.245,0.28,-0.087,0.0,0.991
1.207,-0.21,0.262,-0.089,0.0,0.99
1.26,-0.07,0.21,-0.089,0.002,0.99
1.173,-0.14,0.228,-0.086,0.0,0.99
1.19,-0.14,0.262,-0.089,0.0,0.991
1.26,-0.192,0.262,-0.089,0.001,0.991
1.207,-0.105,0.262,-0.087,0.001,0.991
1.225,-0.157,0.262,-0.089,0.0,0.992
1.155,-0.21,0.228,-0.087,0.003,0.992
1.155,-0.14,0.262,-0.086,-0.0,0.992
1.365,-0.07,0.262,-0.086,-0.0,0.99
1.207,-0.21,0.245,-0.087,0.002,0.991
1.347,-0.245,0.245,-0.087,-0.0,0.993
1.225,-0.157,0.245,-0.089,0.001,0.99
1.225,-0.157,0.175,-0.089,-0.0,0.991
1.242,-0.245,0.262,-0.084,0.002,0.991
1.4,-0.228,0.192,-0.086,-0.0,0.99
1.347,-0.507,0.385,-0.088,-0.005,0.997
1.207,-0.157,0.175,-0.086,0.003,0.989
3.378,-4.742,-0.14,-0.102,-0.016,0.998
15.068,-13.212,-0.157,-0.059,0.001,0.983
-13.685,15.295,0.84,-0.061,0.025,1.034
-1.015,2.118,0.77,-0.068,-0.006,0.965
12.88,-11.935,-1.26,-0.108,-0.068,0.912
11.2,-12.11,29.032,-0.042,-0.137,1.147
18.917,-7.91,27.667,-0.14,0.079,1.055
32.48,3.797,12.6,-0.101,0.098,1.038
17.43,10.71,13.387,-0.03,0.144,1.011
5.18,7.157,11.917,0.083,0.295,0.81
21.105,11.113,4.585,-0.015,0.291,0.879
16.24,6.738,-10.693,-0.1,0.121,1.057
3.885,-13.738,-24.692,-0.106,-0.015,1.075
10.203,-12.863,-26.18,-0.128,-0.078,1.103
1.138,-5.093,-3.483,-0.104,0.002,0.838
3.115,-5.687,20.177,-0.116,0.156,0.849
-0.087,-1.173,27.16,-0.133,0.305,0.915
1.155,8.96,19.933,-0.118,0.413,1.06
10.693,6.23,4.778,-0.032,0.319,1.107
11.97,5.863,-15.26,0.057,0.259,1.056
19.827,4.55,-32.568,0.17,0.112,0.925
11.252,-5.495,-43.855,0.053,0.029,0.947
-3.535,-5.53,-49.998,-0.054,-0.038,0.916
-14.0,-15.417,-39.095,-0.179,0.004,0.98
-8.417,-18.743,-23.24,-0.269,-0.028,1.021
-11.427,-12.653,-2.345,-0.275,0.061,0.972
-13.773,8.767,7.682,-0.222,0.151,0.969
-8.085,15.155,16.1,-0.179,0.17,0.937
-10.395,10.815,20.09,-0.089,0.18,0.953
-4.392,1.523,24.763,-0.075,0.168,1.02
-5.145,3.237,18.358,-0.055,0.179,1.066
10.028,8.715,16.625,-0.016,0.15,1.116
-11.917,13.528,-3.098,-0.075,0.12,1.05
-0.157,12.18,4.935,-0.032,0.101,0.961
14.087,10.063,6.282,-0.007,0.053,0.864
6.755,-2.678,6.93,-0.092,0.044,0.824
-5.687,-6.492,3.727,-0.138,0.068,0.898
-4.532,-13.458,-0.577,-0.11,0.077,1.004
-4.463,-10.377,-5.093,-0.155,0.104,1.075
-2.922,-0.368,-1.645,-0.105,0.155,1.31
9.275,14.595,-5.53,-0.129,0.21,1.233
43.173,27.003,-4.812,-0.162,0.176,1.261
35.577,35.228,-15.417,-0.043,0.1,1.014
32.97,36.173,-7.858,-0.117,0.043,0.594
17.937,29.243,-7.49,-0.254,0.021,0.353
-16.013,-4.13,-6.318,-0.211,0.107,0.136
-41.72,-60.41,0.175,-0.075,0.033,0.657
-60.06,-72.257,14.07,0.002,0.221,1.563
-21.962,-23.135,14.368,-0.151,0.193,1.423
3.15,-2.362,6.615,-0.188,0.206,1.322
14.35,23.905,-6.79,-0.146,0.093,1.042
7.088,10.868,-3.098,-0.129,0.079,0.883
3.5,1.26,-6.843,-0.119,0.06,0.905
0.07,0.577,-11.27,-0.108,0.068,0.992
-9.45,2.03,-12.583,-0.108,0.081,0.995
-0.647,5.443,-9.398,-0.146,0.069,0.936
-1.575,0.123,-8.592,-0.142,0.066,1.01
-3.027,4.515,-3.43,-0.119,0.084,0.961
4.812,3.78,-0.228,-0.172,0.057,0.986
0.14,0.228,0.437,-0.172,0.064,0.997
3.185,0.333,-0.507,-0.137,0.07,0.967
3.902,-0.42,-0.77,-0.137,0.058,0.982
1.015,-0.123,-0.192,-0.143,0.066,0.986
0.752,-1.295,0.507,-0.156,0.054,0.977
2.922,-3.92,-0.858,-0.15,0.071,0.978
-0.21,-4.918,-3.57,0.02,0.181,1.021
-2.66,1.365,13.125,0.13,0.31,0.93
51.59,20.79,-4.34,-0.299,0.105,0.966
41.965,15.575,-19.635,-0.702,-0.357,0.904
-42.525,-6.597,-50.435,-0.26,-0.236,1.124
-92.085,-40.127,-47.583,0.386,0.316,0.893
2.852,18.077,10.587,-0.271,0.215,0.659
67.095,34.178,14.7,-0.878,-0.213,1.158
-23.257,-37.888,-0.962,0.045,0.003,1.199
-40.04,-40.11,52.535,0.512,-0.004,0.492
97.195,-9.292,-47.127,-0.785,-0.489,1.2
-19.302,-28.595,-46.515,0.197,0.218,1.114
-20.458,-40.932,58.048,0.553,0.064,0.769
78.173,11.602,10.903,-0.765,0.194,1.232
-17.097,-3.08,-7.315,0.3,0.068,1.097
-28.385,-17.343,22.715,-0.096,0.203,0.939
7.49,1.995,2.188,-0.106,0.189,1.011
9.012,-2.17,2.642,-0.011,0.079,0.988
-3.57,-7.84,2.555,-0.045,0.076,0.971
-8.208,-11.41,1.242,0.015,0.097,0.958
-4.095,-7.84,-1.487,0.001,0.112,0.987
-4.76,-3.273,-3.01,0.001,0.087,0.995
-9.135,0.403,-3.693,-0.004,0.095,1.028
-6.825,1.575,-3.622,-0.012,0.082,0.962
-0.507,-1.347,-2.975,-0.009,0.055,0.991
-9.852,3.868,-4.918,-0.003,0.084,0.988
-7.665,0.052,0.245,0.03,0.07,0.983
-1.68,0.472,0.228,-0.011,0.053,0.997
-3.237,-2.135,0.14,-0.008,0.032,0.998
-5.25,-5.443,-0.455,-0.011,0.051,0.984
-4.305,-4.812,-1.452,0.04,0.059,1.01
-1.942,-2.415,-1.452,0.021,0.016,0.961
9.712,-0.717,2.8,0.108,0.089,0.972
25.112,6.3,2.345,0.004,0.051,0.993
22.663,6.58,6.965,-0.03,0.074,0.994
-21.805,21.7,0.192,-0.112,0.058,0.955
-9.047,10.307,-3.938,-0.003,0.055,0.951
-7.122,6.878,-0.945,-0.022,0.051,0.995
-1.645,1.872,0.018,0.001,0.063,0.956
1.628,-0.805,-0.56,0.057,0.112,0.975
8.89,-7.648,0.035,-0.048,0.032,0.952
35.42,-30.345,-0.49,-0.017,0.074,0.931
52.868,-46.06,-1.085,0.032,0.119,0.995
-3.622,10.693,0.7,-0.067,0.087,1.013
5.32,-6.003,0.437,0.004,0.109,1.057
-0.7,1.942,0.42,0.026,0.143,0.961
0.385,0.21,0.333,0.042,0.126,0.991
1.89,-0.35,0.28,0.046,0.144,0.98
1.365,-0.192,0.28,0.036,0.146,0.985
0.98,-0.07,0.228,0.047,0.136,0.989
1.278,-0.21,0.157,0.04,0.135,0.986
1.418,-0.245,0.245,0.04,0.143,0.982
1.207,-0.21,0.192,0.041,0.136,0.986
1.242,-0.14,0.192,0.041,0.143,0.985
1.26,-0.228,0.245,0.043,0.139,0.987
1.207,-0.192,0.21,0.038,0.139,0.984
1.207,-0.192,0.228,0.043,0.142,0.983
1.225,-0.21,0.298,0.04,0.139,0.985
1.225,-0.157,0.21,0.044,0.138,0.985
1.26,-0.21,0.192,0.043,0.139,0.983
1.278,-0.157,0.262,0.041,0.137,0.985
1.155,-0.105,0.228,0.043,0.139,0.984
1.242,-0.245,0.228,0.042,0.14,0.985
1.225,-0.21,0.262,0.041,0.138,0.986
1.207,-0.157,0.21,0.041,0.137,0.984
1.207,-0.175,0.28,0.044,0.139,0.983
1.278,-0.123,0.298,0.041,0.138,0.986
1.19,-0.228,0.21,0.043,0.138,0.988
1.242,-0.21,0.192,0.039,0.138,0.985
1.295,-0.192,0.157,0.043,0.139,0.987
1.26,-0.21,0.14,0.042,0.14,0.986
1.12,-0.14,0.262,0.041,0.14,0.985
1.138,-0.175,0.245,0.043,0.14,0.989
1.26,-0.228,0.21,0.04,0.139,0.986
1.242,-0.175,0.298,0.041,0.141,0.984
1.26,-0.123,0.21,0.041,0.138,0.985
1.278,-0.157,0.21,0.042,0.141,0.986
1.138,-0.175,0.28,0.041,0.139,0.985
1.225,-0.28,0.228,0.041,0.142,0.983
1.173,-0.28,0.192,0.041,0.14,0.985
1.295,-0.192,0.228,0.043,0.14,0.985
1.312,-0.157,0.315,0.04,0.137,0.985
1.207,-0.28,0.21,0.044,0.139,0.983
1.207,-0.105,0.21,0.042,0.139,0.985
1.225,-0.21,0.245,0.043,0.14,0.984
